,scaling factor,time (sec),accel = sin(t/tscale)*ascale,sine argument,vel = (-cos(t/tscale)+1)*vscale,RR vel (m/s),err vel,pos = (-tscale(sin(t/tscale))+t)*vscale,RR pos (meters),error vel,error pos,time (min),vel Km/hr,pos Km,,,,,,,,,,,,,,,,,
tscale,286.478897565412000,0.0000000,0.000000000000000,0.0000000,0.000000000000000,0.000000000000000,0.0000000,0.000000000000000,0.000000000000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,,,,,,,,,,,,,,,,,
ascale,0.236589076381454,1.0000000,0.000825849994297,0.0034907,0.000412925416429,0.000825849994297,-0.0004129,0.000137641861381,0.000825849994297,-0.0004129,0.0012388,0.0166667,0.0029731,0.0000008,,,,,,,,,,,,,,,,,
vscale,67.777777777777900,2.0000000,0.001651689925873,0.0069813,0.001651696634356,0.002477539920171,-0.0008258,0.001101132878497,0.003303389914468,-0.0008258,0.0033034,0.0333333,0.0089191,0.0000033,,,,,,,,,,,,,,,,,
,,3.0000000,0.002477509732129,0.0104720,0.003716298559733,0.004955049652299,-0.0012388,0.003716312144395,0.008258439566767,-0.0012388,0.0061938,0.0500000,0.0178382,0.0000083,,,,,,,,,,,,,,,,,
tscale prec.,286.478897565412000,4.0000000,0.003303299350710,0.0139626,0.006606706036046,0.008258349003009,-0.0016516,0.008808998626743,0.016516788569776,-0.0016516,0.0099100,0.0666667,0.0297301,0.0000165,,,,,,,,,,,,,,,,,
ascale prec.,0.236589076381454,5.0000000,0.004129048719631,0.0174533,0.010322883844592,0.012387397722640,-0.0020645,0.017204981105682,0.028904186292416,-0.0020645,0.0144519,0.0833333,0.0445946,0.0000289,,,,,,,,,,,,,,,,,
,,6.0000000,0.004954747777396,0.0209440,0.014864786704916,0.017342145500036,-0.0024774,0.029730008111697,0.046246331792451,-0.0024774,0.0198195,0.1000000,0.0624317,0.0000462,,,,,,,,,,,,,,,,,
,,7.0000000,0.005780386463123,0.0244346,0.020232359275367,0.023122531963159,-0.0028902,0.047209777864007,0.069368863755610,-0.0028902,0.0260127,0.1166667,0.0832411,0.0000694,,,,,,,,,,,,,,,,,
Calc final V m/s,Calc final Pos meters,8.0000000,0.006605954716666,0.0279253,0.026425536153761,0.029728486679825,-0.0033030,0.070469928210123,0.099097350435435,-0.0033030,0.0330314,0.1333333,0.1070226,0.0000991,,,,,,,,,,,,,,,,,
0.000000000000000,122000.000000000000000,9.0000000,0.007431442478735,0.0314159,0.033444241878192,0.037159929158559,-0.0037157,0.100336026565305,0.136257279593994,-0.0037157,0.0408756,0.1500000,0.1337757,0.0001363,,,,,,,,,,,,,,,,,
RR final V m/s,RR final Pos meters,10.0000000,0.008256839691022,0.0349066,0.041288390927954,0.045416768849582,-0.0041284,0.137633559853355,0.181674048443576,-0.0041284,0.0495451,0.1666667,0.1635004,0.0001817,,,,,,,,,,,,,,,,,
-0.000000000000033,121999.8761222,11.0000000,0.009082136296324,0.0383972,0.049957887724567,0.054498905145906,-0.0045410,0.183187924448546,0.236172953589482,-0.0045410,0.0590399,0.1833333,0.1961961,0.0002362,,,,,,,,,,,,,,,,,
,,12.0000000,0.009907322238661,0.0418879,0.059452626632932,0.064406227384567,-0.0049536,0.237824416118273,0.300579180974048,-0.0049536,0.0693598,0.2000000,0.2318624,0.0003006,,,,,,,,,,,,,,,,,
NOTES,,13.0000000,0.010732387463403,0.0453786,0.069772491962667,0.075138614847970,-0.0053661,0.302368219966553,0.375717795822018,-0.0053661,0.0805047,0.2166667,0.2704990,0.0003757,,,,,,,,,,,,,,,,,
https://www.integral-calculator.com/,,14.0000000,0.011557321917391,0.0488692,0.080917357969468,0.086695936765360,-0.0057786,0.377644400380949,0.462413732587378,-0.0057786,0.0924745,0.2333333,0.3121054,0.0004624,,,,,,,,,,,,,,,,,
Above helps to check definite integrals,,15.0000000,0.012382115549058,0.0523599,0.092887088856663,0.099078052314419,-0.0061910,0.464477890977456,0.561491784901797,-0.0061910,0.1052690,0.2500000,0.3566810,0.0005615,,,,,,,,,,,,,,,,,
,,16.0000000,0.013206758308555,0.0558505,0.105681538776842,0.112284810622974,-0.0066033,0.563693484550191,0.673776595524771,-0.0066033,0.1188881,0.2666667,0.4042253,0.0006738,,,,,,,,,,,,,,,,,
1) Turn trace precendents on for vel,,17.0000000,0.014031240147870,0.0593412,0.119300551833685,0.126316050770844,-0.0070155,0.676115823021697,0.800092646295615,-0.0070155,0.1333315,0.2833333,0.4547378,0.0008001,,,,,,,,,,,,,,,,,
2) Turn trace precedents on for pos,,18.0000000,0.014855551020952,0.0628319,0.133743962083817,0.141171601791796,-0.0074276,0.802569387393719,0.941264248087411,-0.0074276,0.1485992,0.3000000,0.5082178,0.0009413,,,,,,,,,,,,,,,,,
,,19.0000000,0.015679680883833,0.0663225,0.149011593538836,0.156851282675629,-0.0078397,0.943878487702445,1.098115530763040,-0.0078397,0.1646910,0.3166667,0.5646646,0.0010981,,,,,,,,,,,,,,,,,
This is 1 second step Right Riemann Sum,,20.0000000,0.016503619694750,0.0698132,0.165103260167471,0.173354902370378,-0.0082516,1.100867252973850,1.271470433133420,-0.0082516,0.1816065,0.3333333,0.6240776,0.0012715,,,,,,,,,,,,,,,,,
uses current accel over step size for vel,,21.0000000,0.017327357414269,0.0733038,0.182018765897841,0.190682259784648,-0.0086635,1.274359621182810,1.462152692918070,-0.0086635,0.1993458,0.3500000,0.6864561,0.0014622,,,,,,,,,,,,,,,,,
uses current vel over step size for pos,,22.0000000,0.018150884005407,0.0767945,0.199757904619850,0.208833143790054,-0.0090752,1.465179329211900,1.670985836708120,-0.0090752,0.2179084,0.3666667,0.7517993,0.0016710,,,,,,,,,,,,,,,,,
,,23.0000000,0.018974189433751,0.0802851,0.218320460187695,0.227807333223805,-0.0094869,1.674149902815840,1.898793169931930,-0.0094869,0.2372942,0.3833333,0.8201064,0.0018988,,,,,,,,,,,,,,,,,
Left Riemann Sum would use previous,,24.0000000,0.019797263667585,0.0837758,0.237706206422482,0.247604596891390,-0.0098984,1.902094646587760,2.146397766823320,-0.0098984,0.2575030,0.4000000,0.8913765,0.0021464,,,,,,,,,,,,,,,,,
prev accel over step size for current vel,,25.0000000,0.020620096678008,0.0872665,0.257914907115025,0.268224693569398,-0.0103098,2.149836633925040,2.414622460392710,-0.0103098,0.2785345,0.4166667,0.9656089,0.0024146,,,,,,,,,,,,,,,,,
prev vel over step size for current pos,,26.0000000,0.021442678439061,0.0907571,0.278946316028678,0.289667372008459,-0.0107211,2.418198697002630,2.704289832401170,-0.0107211,0.3003884,0.4333333,1.0428025,0.0027043,,,,,,,,,,,,,,,,,
,,27.0000000,0.022264998927844,0.0942478,0.300800176902356,0.311932370936303,-0.0111322,2.708003416747030,3.016222203337480,-0.0111322,0.3230646,0.4500000,1.1229565,0.0030162,,,,,,,,,,,,,,,,,
,,28.0000000,0.023087048124641,0.0977384,0.323476223453665,0.335019419060944,-0.0115432,3.020073112811300,3.351241622398420,-0.0115432,0.3465626,0.4666667,1.2060699,0.0033512,,,,,,,,,,,,,,,,,
,,29.0000000,0.023908816013043,0.1012291,0.346974179382133,0.358928235073987,-0.0119541,3.355229833557960,3.710169857472410,-0.0119541,0.3708823,0.4833333,1.2921416,0.0037102,,,,,,,,,,,,,,,,,
,,30.0000000,0.024730292580067,0.1047198,0.371293758372589,0.383658527654054,-0.0123648,3.714295346040990,4.093828385126460,-0.0123648,0.3960233,0.5000000,1.3811707,0.0040938,,,,,,,,,,,,,,,,,
,,31.0000000,0.025551467816280,0.1082104,0.396434664098624,0.409209995470334,-0.0127753,4.098091125992800,4.503038380596790,-0.0127753,0.4219853,0.5166667,1.4731560,0.0045030,,,,,,,,,,,,,,,,,
,,32.0000000,0.026372331715922,0.1117011,0.422396590226247,0.435582327186255,-0.0131857,4.507438347816110,4.938620707783050,-0.0131857,0.4487681,0.5333333,1.5680964,0.0049386,,,,,,,,,,,,,,,,,
,,33.0000000,0.027192874277024,0.1151917,0.449179220417575,0.462775201463279,-0.0135960,4.943157874577690,5.401395909246330,-0.0135960,0.4763712,0.5500000,1.6659907,0.0054014,,,,,,,,,,,,,,,,,
,,34.0000000,0.028013085501534,0.1186824,0.476782228334719,0.490788286964813,-0.0140061,5.406070248004540,5.892184196211140,-0.0140061,0.5047943,0.5666667,1.7668378,0.0058922,,,,,,,,,,,,,,,,,
,,35.0000000,0.028832955395438,0.1221730,0.505205277643733,0.519621242360251,-0.0144160,5.896995678488730,6.411805438571390,-0.0144160,0.5340372,0.5833333,1.8706365,0.0064118,,,,,,,,,,,,,,,,,
,,36.0000000,0.029652473968880,0.1256637,0.534448022018723,0.549273716329131,-0.0148257,6.416754035091250,6.961079154900520,-0.0148257,0.5640994,0.6000000,1.9773854,0.0069611,,,,,,,,,,,,,,,,,
,,37.0000000,0.030471631236284,0.1291544,0.564510105146097,0.579745347565415,-0.0152352,6.966164835555060,7.540824502465940,-0.0152352,0.5949806,0.6166667,2.0870833,0.0075408,,,,,,,,,,,,,,,,,
,,38.0000000,0.031290417216478,0.1326450,0.595391160728843,0.611035764781892,-0.0156446,7.546047236313080,8.151860267247830,-0.0156446,0.6266804,0.6333333,2.1997288,0.0081519,,,,,,,,,,,,,,,,,
,,39.0000000,0.032108821932812,0.1361357,0.627090812491046,0.643144586714705,-0.0160538,8.157220022516330,8.795004853962530,-0.0160538,0.6591984,0.6500000,2.3153205,0.0087950,,,,,,,,,,,,,,,,,
,,40.0000000,0.032926835413285,0.1396263,0.659608674182455,0.676071422127989,-0.0164627,8.800501598049170,9.471076276090520,-0.0164627,0.6925342,0.6666667,2.4338571,0.0094711,,,,,,,,,,,,,,,,,
,,41.0000000,0.033744447690659,0.1431170,0.692944349583192,0.709815869818648,-0.0168715,9.476709975561330,10.180892145909200,-0.0168715,0.7266874,0.6833333,2.5553371,0.0101809,,,,,,,,,,,,,,,,,
,,42.0000000,0.034561648802587,0.1466077,0.727097432508570,0.744377518621234,-0.0172801,10.186662766500900,10.925269664530400,-0.0172801,0.7616576,0.7000000,2.6797591,0.0109253,,,,,,,,,,,,,,,,,
,,43.0000000,0.035378428791731,0.1500983,0.762067506814052,0.779755947412965,-0.0176884,10.931177171149400,11.705025611943400,-0.0176884,0.7974444,0.7166667,2.8071214,0.0117050,,,,,,,,,,,,,,,,,
,,44.0000000,0.036194777705885,0.1535890,0.797854146400313,0.815950725118850,-0.0180966,11.711069968667000,12.520976337062200,-0.0180966,0.8340473,0.7333333,2.9374226,0.0125210,,,,,,,,,,,,,,,,,
,,45.0000000,0.037010685598095,0.1570796,0.834456915218442,0.852961410716945,-0.0185045,12.527157507137900,13.373937747779200,-0.0185045,0.8714659,0.7500000,3.0706611,0.0133739,,,,,,,,,,,,,,,,,
,,46.0000000,0.037826142526781,0.1605703,0.871875367275266,0.890787553243726,-0.0189122,13.380255693626900,14.264725301022900,-0.0189122,0.9096997,0.7666667,3.2068352,0.0142647,,,,,,,,,,,,,,,,,
,,47.0000000,0.038641138555858,0.1640609,0.910109046638745,0.929428691799584,-0.0193196,14.271179984233900,15.194153992822500,-0.0193196,0.9487483,0.7833333,3.3459433,0.0151942,,,,,,,,,,,,,,,,,
,,48.0000000,0.039455663754855,0.1675516,0.949157487443553,0.968884355554439,-0.0197269,15.200745374162100,16.163038348376900,-0.0197269,0.9886112,0.8000000,3.4879837,0.0161630,,,,,,,,,,,,,,,,,
,,49.0000000,0.040269708199042,0.1710423,0.989020213896785,1.009154063753480,-0.0201338,16.169766387781500,17.172192412130400,-0.0201338,1.0292879,0.8166667,3.6329546,0.0171722,,,,,,,,,,,,,,,,,
,,50.0000000,0.041083261969542,0.1745329,1.029696740283680,1.050237325723020,-0.0205406,17.179057068710100,18.222429737853400,-0.0205406,1.0707779,0.8333333,3.7808544,0.0182224,,,,,,,,,,,,,,,,,
,,51.0000000,0.041896315153460,0.1780236,1.071186570973610,1.092133640876480,-0.0209471,18.229430969892900,19.314563378729900,-0.0209471,1.1130807,0.8500000,3.9316811,0.0193146,,,,,,,,,,,,,,,,,
,,52.0000000,0.042708857844000,0.1815142,1.113489200426070,1.134842498720480,-0.0213533,19.321701143687900,20.449405877450400,-0.0213533,1.1561958,0.8666667,4.0854330,0.0204494,,,,,,,,,,,,,,,,,
